Date : 2026-03-23 21:58:14
Directory : /home/ysy/Code/My_OS
Total : 161 files,  -380 codes, 32 comments, -105 blanks, all -453 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/ysy/code/Os_wrtie/src/kernel/arena.c               | C              |        -86 |        -18 |        -22 |       -126 |
| /home/ysy/code/Os_wrtie/src/kernel/assert.c              | C              |        -31 |         -3 |         -8 |        -42 |
| /home/ysy/code/Os_wrtie/src/kernel/clock.c               | C              |       -112 |         -7 |        -29 |       -148 |
| /home/ysy/code/Os_wrtie/src/kernel/console.c             | C              |       -261 |        -33 |        -38 |       -332 |
| /home/ysy/code/Os_wrtie/src/kernel/debug.c               | C              |        -11 |          0 |         -2 |        -13 |
| /home/ysy/code/Os_wrtie/src/kernel/device.c              | C              |       -120 |        -11 |        -15 |       -146 |
| /home/ysy/code/Os_wrtie/src/kernel/devicetree.c          | C              |       -137 |         -7 |        -22 |       -166 |
| /home/ysy/code/Os_wrtie/src/kernel/gate.c                | C              |        -56 |        -10 |        -14 |        -80 |
| /home/ysy/code/Os_wrtie/src/kernel/global.c              | C              |        -68 |         -3 |        -13 |        -84 |
| /home/ysy/code/Os_wrtie/src/kernel/handler.asm           | Assembler file |       -166 |          0 |        -33 |       -199 |
| /home/ysy/code/Os_wrtie/src/kernel/ide.c                 | C              |       -384 |        -43 |        -64 |       -491 |
| /home/ysy/code/Os_wrtie/src/kernel/interrupt.c           | C              |       -255 |        -37 |        -51 |       -343 |
| /home/ysy/code/Os_wrtie/src/kernel/io.asm                | Assembler file |        -73 |          0 |        -28 |       -101 |
| /home/ysy/code/Os_wrtie/src/kernel/keyboard.c            | C              |       -372 |        -13 |        -48 |       -433 |
| /home/ysy/code/Os_wrtie/src/kernel/main.c                | C              |        -35 |         -1 |         -4 |        -40 |
| /home/ysy/code/Os_wrtie/src/kernel/memory.c              | C              |       -426 |        -50 |        -91 |       -567 |
| /home/ysy/code/Os_wrtie/src/kernel/mutex.c               | C              |        -62 |         -8 |        -18 |        -88 |
| /home/ysy/code/Os_wrtie/src/kernel/nvme.c                | C              |       -401 |        -49 |        -84 |       -534 |
| /home/ysy/code/Os_wrtie/src/kernel/pci.c                 | C              |        -84 |        -13 |        -20 |       -117 |
| /home/ysy/code/Os_wrtie/src/kernel/printk.c              | C              |        -15 |          0 |         -3 |        -18 |
| /home/ysy/code/Os_wrtie/src/kernel/rtc.c                 | C              |        -91 |        -10 |        -23 |       -124 |
| /home/ysy/code/Os_wrtie/src/kernel/schedule.asm          | Assembler file |        -20 |          0 |         -9 |        -29 |
| /home/ysy/code/Os_wrtie/src/kernel/start.asm             | Assembler file |        -53 |          0 |        -12 |        -65 |
| /home/ysy/code/Os_wrtie/src/kernel/task.c                | C              |       -332 |        -25 |        -84 |       -441 |
| /home/ysy/code/Os_wrtie/src/kernel/thread.c              | C              |        -42 |        -17 |         -8 |        -67 |
| /home/ysy/code/Os_wrtie/src/kernel/time.c                | C              |       -139 |        -10 |        -27 |       -176 |
| /home/ysy/code/Os_wrtie/src/lib/bitmap.c                 | C              |        -55 |         -8 |        -19 |        -82 |
| /home/ysy/code/Os_wrtie/src/lib/fifo.c                   | C              |        -38 |          0 |         -7 |        -45 |
| /home/ysy/code/Os_wrtie/src/lib/list.c                   | C              |        -97 |        -13 |        -23 |       -133 |
| /home/ysy/code/Os_wrtie/src/lib/printf.c                 | C              |        -14 |          0 |         -8 |        -22 |
| /home/ysy/code/Os_wrtie/src/lib/stdlib.c                 | C              |        -45 |         -6 |        -10 |        -61 |
| /home/ysy/code/Os_wrtie/src/lib/string.c                 | C              |       -176 |         -2 |        -16 |       -194 |
| /home/ysy/code/Os_wrtie/src/lib/syscall.c                | C              |        -70 |         -2 |        -16 |        -88 |
| /home/ysy/code/Os_wrtie/src/lib/vsprintf.c               | C              |       -285 |        -81 |        -50 |       -416 |
| /home/ysy/code/Os_wrtie/src/utils/grub.cfg               | Properties     |         -5 |          0 |         -1 |         -6 |
| /home/ysy/code/Os_wrtie/test/call.asm                    | Assembler file |        -16 |          0 |         -9 |        -25 |
| /home/ysy/code/Os_wrtie/test/makefile                    | Makefile       |        -14 |         -8 |         -4 |        -26 |
| /home/ysy/code/Os_wrtie/test/param.c                     | C              |        -10 |          0 |         -2 |        -12 |
| /home/ysy/code/Os_wrtie/test/param.s                     | Assembler file |        -30 |          0 |         -1 |        -31 |
| /home/ysy/code/Os_wrtie/test/types.c                     | C              |        -27 |          0 |         -5 |        -32 |
| Total                                                    |                |       -380 |         32 |       -105 |       -453 |
+----------------------------------------------------------+----------------+------------+------------+------------+------------+
